h_tag,group_name,id_shape,n_relay_instances,relays_or_relay_keys
3aa91029-0ce9-4d,The COG Catholic's Highlighter,human-readable slug,1,wss://nip29.f7z.io
3debc06df0d3c96fb8ba79332b6049a677a99e95feea3781c34be1998c1e855f,,random hex-64,1,wss://nip29.f7z.io
4088bea6a27d,,random hex-12,1,wss://nip29.f7z.io
4b821ed73d95e922,,random hex-16,1,wss://nip29.f7z.io
4c67199f561cec9c,,random hex-16,1,wss://nip29.f7z.io
4d935ff29bac46134a7027efb2b36d9a5c255341220dbf5ab98ab48a4d3c1649-210384,phrn's Highlighter,human-readable slug,1,wss://nip29.f7z.io
52c8a3c9-acd3-4d,Dug's Highlighter,human-readable slug,1,wss://nip29.f7z.io
5a2e003f-d857-41,The Bitcoin Zodiac's Highlighter,human-readable slug,1,wss://nip29.f7z.io
5b9d167e-7a06-46,The Bitcoin Zodiac's Highlighter,human-readable slug,1,wss://nip29.f7z.io
5ca4afd4-1d75-46,The Bitcoin Zodiac's Highlighter,human-readable slug,1,wss://nip29.f7z.io
63b6e04f-9cca-4b,The Bitcoin Zodiac's Highlighter,human-readable slug,1,wss://nip29.f7z.io
6585f598-5fa9-46,phrn's Highlighter,human-readable slug,1,wss://nip29.f7z.io
674b27c3d58a7503,,random hex-16,1,wss://nip29.f7z.io
6aaa3c349261a023d893ac13f272d996f8aa1b866ca4bba98c4ce75be085f5ba,,random hex-64,1,wss://nip29.f7z.io
6d6b1082-a457-4b,Promethean Softwar Sovereign's Highlighter,human-readable slug,1,wss://nip29.f7z.io
6f732c8bd027,,random hex-12,1,wss://nip29.f7z.io
742a3632-edea-4b,VonNaturAustreVe's Highlighter,human-readable slug,1,wss://nip29.f7z.io
7595e44d-f358-4d,,human-readable slug,1,wss://nip29.f7z.io
77ef46f0-2b7a-4d,The COG Catholic's Highlighter,human-readable slug,1,wss://nip29.f7z.io
792a9bd8-0fb6-49,phrn's Highlighter,human-readable slug,1,wss://nip29.f7z.io
79ff8db0-858d-4e,The Bitcoin Zodiac's Highlighter,human-readable slug,1,wss://nip29.f7z.io
7fb43cdfa7c45377,,random hex-16,1,wss://nip29.f7z.io
80df87,,random hex-6,1,wss://groups.hzrd149.com
81231fe4-0931-49,,human-readable slug,1,wss://nip29.f7z.io
82c996ad-c7af-46,yojmbo's Highlighter,human-readable slug,1,wss://nip29.f7z.io
843e19665836afa8,,random hex-16,1,wss://nip29.f7z.io
8688c521-11ee-4f,,human-readable slug,1,wss://nip29.f7z.io
875f6898-65c7-4c,The Bitcoin Zodiac's Highlighter,human-readable slug,1,wss://nip29.f7z.io
9051185c-261f-4b,,human-readable slug,1,wss://nip29.f7z.io
919451c0-49f2-4e,,human-readable slug,1,wss://nip29.f7z.io
9226dc9a34cce180,,random hex-16,1,wss://nip29.f7z.io
92fd7052-4168-43,phrn's Highlighter,human-readable slug,1,wss://nip29.f7z.io
955e2407-de32-44,,human-readable slug,1,wss://nip29.f7z.io
96844506-ccc8-4e,noke's Highlighter,human-readable slug,1,wss://nip29.f7z.io
